name,email,phone,address,website,category,location,source,scraped_at
Medical Clinic Houston #52,,(374) 159-9875,"8582 Main St, Houston",,Medical Clinic,Houston,Directory,2025-08-22T22:11:28.347931
Real Estate San Diego #53,info@realestatesandiego53.com,(232) 128-3284,"4996 Main St, San Diego",https://realestatesandiego53.com,Real Estate,San Diego,Directory,2025-08-22T22:11:28.347931
Medical Clinic San Diego #54,info@medicalclinicsandieg.com,(905) 618-9493,"8149 Main St, San Diego",https://medicalclinicsandieg.com,Medical Clinic,San Diego,Directory,2025-08-22T22:11:28.347931
Marketing Agency Phoenix #55,info@marketingagencyphoen.com,(925) 758-1689,"3921 Main St, Phoenix",https://marketingagencyphoen.com,Marketing Agency,Phoenix,Directory,2025-08-22T22:11:28.347931
Law Firm Houston #56,,(569) 662-6326,"8187 Main St, Houston",,Law Firm,Houston,Directory,2025-08-22T22:11:28.347931
Auto Repair San Antonio #57,,(590) 524-3799,"3582 Main St, San Antonio",,Auto Repair,San Antonio,Directory,2025-08-22T22:11:28.347931
Law Firm Chicago #58,info@lawfirmchicago58.com,(918) 891-4661,"7844 Main St, Chicago",https://lawfirmchicago58.com,Law Firm,Chicago,Directory,2025-08-22T22:11:28.347931
Auto Repair New York #59,info@autorepairnewyork59.com,(356) 576-5088,"5958 Main St, New York",https://autorepairnewyork59.com,Auto Repair,New York,Directory,2025-08-22T22:11:28.347931
Accounting Houston #60,info@accountinghouston60.com,(244) 226-9847,"8524 Main St, Houston",https://accountinghouston60.com,Accounting,Houston,Directory,2025-08-22T22:11:28.347931
Dental Clinic Chicago #61,info@dentalclinicchicago6.com,(960) 492-1452,"8505 Main St, Chicago",https://dentalclinicchicago6.com,Dental Clinic,Chicago,Directory,2025-08-22T22:11:28.347931
Accounting Philadelphia #62,info@accountingphiladelph.com,(689) 498-6524,"7351 Main St, Philadelphia",https://accountingphiladelph.com,Accounting,Philadelphia,Directory,2025-08-22T22:11:28.347931
Plumbing San Diego #63,info@plumbingsandiego63.com,(842) 227-4261,"8649 Main St, San Diego",https://plumbingsandiego63.com,Plumbing,San Diego,Directory,2025-08-22T22:11:28.347931
Auto Repair Phoenix #64,info@autorepairphoenix64.com,(789) 163-6205,"6857 Main St, Phoenix",https://autorepairphoenix64.com,Auto Repair,Phoenix,Directory,2025-08-22T22:11:28.347931
Marketing Agency San Antonio #65,,(565) 208-6710,"717 Main St, San Antonio",,Marketing Agency,San Antonio,Directory,2025-08-22T22:11:28.347931
Law Firm Dallas #66,,(431) 600-3032,"3961 Main St, Dallas",,Law Firm,Dallas,Directory,2025-08-22T22:11:28.347931
Accounting San Diego #67,,(293) 582-3776,"9212 Main St, San Diego",,Accounting,San Diego,Directory,2025-08-22T22:11:28.347931
Real Estate San Antonio #68,,(409) 812-8221,"6160 Main St, San Antonio",,Real Estate,San Antonio,Directory,2025-08-22T22:11:28.347931
Accounting Chicago #69,info@accountingchicago69.com,(815) 869-2053,"9292 Main St, Chicago",https://accountingchicago69.com,Accounting,Chicago,Directory,2025-08-22T22:11:28.347931
Dental Clinic Dallas #70,info@dentalclinicdallas70.com,(975) 369-4993,"6972 Main St, Dallas",https://dentalclinicdallas70.com,Dental Clinic,Dallas,Directory,2025-08-22T22:11:28.347931
Marketing Agency New York #71,info@marketingagencynewyo.com,(473) 554-6556,"6670 Main St, New York",https://marketingagencynewyo.com,Marketing Agency,New York,Directory,2025-08-22T22:11:28.347931
Plumbing Dallas #72,info@plumbingdallas72.com,(848) 326-1243,"9378 Main St, Dallas",https://plumbingdallas72.com,Plumbing,Dallas,Directory,2025-08-22T22:11:28.347931
Marketing Agency Philadelphia #73,info@marketingagencyphila.com,(996) 686-4751,"8926 Main St, Philadelphia",https://marketingagencyphila.com,Marketing Agency,Philadelphia,Directory,2025-08-22T22:11:28.347931
Dental Clinic Philadelphia #74,info@dentalclinicphiladel.com,(517) 151-6427,"1911 Main St, Philadelphia",https://dentalclinicphiladel.com,Dental Clinic,Philadelphia,Directory,2025-08-22T22:11:28.347931
Medical Clinic Chicago #75,info@medicalclinicchicago.com,(843) 959-4668,"9947 Main St, Chicago",https://medicalclinicchicago.com,Medical Clinic,Chicago,Directory,2025-08-22T22:11:28.347931
Restaurant Houston #76,info@restauranthouston76.com,(959) 491-2239,"9703 Main St, Houston",https://restauranthouston76.com,Restaurant,Houston,Directory,2025-08-22T22:11:28.347931
Real Estate Chicago #77,,(343) 320-8276,"6893 Main St, Chicago",,Real Estate,Chicago,Directory,2025-08-22T22:11:28.347931
Restaurant San Diego #78,info@restaurantsandiego78.com,(521) 365-6726,"643 Main St, San Diego",https://restaurantsandiego78.com,Restaurant,San Diego,Directory,2025-08-22T22:11:28.347931
Electric Philadelphia #79,info@electricphiladelphia.com,(466) 288-9690,"6034 Main St, Philadelphia",https://electricphiladelphia.com,Electric,Philadelphia,Directory,2025-08-22T22:11:28.347931
Law Firm San Diego #80,info@lawfirmsandiego80.com,(717) 146-6674,"3723 Main St, San Diego",https://lawfirmsandiego80.com,Law Firm,San Diego,Directory,2025-08-22T22:11:28.347931
Law Firm Miami #81,,(594) 996-2689,"8242 Main St, Miami",,Law Firm,Miami,Directory,2025-08-22T22:11:28.347931
Real Estate San Antonio #82,info@realestatesanantonio.com,(707) 680-7549,"4039 Main St, San Antonio",https://realestatesanantonio.com,Real Estate,San Antonio,Directory,2025-08-22T22:11:28.347931
Accounting Dallas #83,info@accountingdallas83.com,(576) 904-4240,"562 Main St, Dallas",https://accountingdallas83.com,Accounting,Dallas,Directory,2025-08-22T22:11:28.347931
Electric Houston #84,info@electrichouston84.com,(777) 390-9574,"3203 Main St, Houston",https://electrichouston84.com,Electric,Houston,Directory,2025-08-22T22:11:28.347931
Law Firm Phoenix #85,info@lawfirmphoenix85.com,(913) 410-2825,"8406 Main St, Phoenix",https://lawfirmphoenix85.com,Law Firm,Phoenix,Directory,2025-08-22T22:11:28.347931
Dental Clinic Dallas #86,info@dentalclinicdallas86.com,(846) 978-3907,"8122 Main St, Dallas",https://dentalclinicdallas86.com,Dental Clinic,Dallas,Directory,2025-08-22T22:11:28.347931
Restaurant Los Angeles #87,info@restaurantlosangeles.com,(532) 414-4435,"3073 Main St, Los Angeles",https://restaurantlosangeles.com,Restaurant,Los Angeles,Directory,2025-08-22T22:11:28.347931
Law Firm Miami #88,info@lawfirmmiami88.com,(417) 283-3411,"423 Main St, Miami",https://lawfirmmiami88.com,Law Firm,Miami,Directory,2025-08-22T22:11:28.347931
Law Firm Houston #89,info@lawfirmhouston89.com,(929) 719-8322,"9388 Main St, Houston",https://lawfirmhouston89.com,Law Firm,Houston,Directory,2025-08-22T22:11:28.347931
Auto Repair Chicago #90,info@autorepairchicago90.com,(445) 536-4346,"4255 Main St, Chicago",https://autorepairchicago90.com,Auto Repair,Chicago,Directory,2025-08-22T22:11:28.347931
Accounting Phoenix #91,info@accountingphoenix91.com,(239) 226-8366,"646 Main St, Phoenix",https://accountingphoenix91.com,Accounting,Phoenix,Directory,2025-08-22T22:11:28.347931
Marketing Agency Philadelphia #92,info@marketingagencyphila.com,(548) 258-3903,"9916 Main St, Philadelphia",https://marketingagencyphila.com,Marketing Agency,Philadelphia,Directory,2025-08-22T22:11:28.347931
Medical Clinic Miami #93,,(625) 549-6052,"3871 Main St, Miami",,Medical Clinic,Miami,Directory,2025-08-22T22:11:28.347931
Electric San Diego #94,info@electricsandiego94.com,(448) 541-3070,"3254 Main St, San Diego",https://electricsandiego94.com,Electric,San Diego,Directory,2025-08-22T22:11:28.347931
Accounting Dallas #95,info@accountingdallas95.com,(520) 844-9378,"4499 Main St, Dallas",https://accountingdallas95.com,Accounting,Dallas,Directory,2025-08-22T22:11:28.347931
Real Estate Los Angeles #96,info@realestatelosangeles.com,(439) 416-9353,"4862 Main St, Los Angeles",https://realestatelosangeles.com,Real Estate,Los Angeles,Directory,2025-08-22T22:11:28.347931
Law Firm Houston #97,info@lawfirmhouston97.com,(381) 482-8658,"5111 Main St, Houston",https://lawfirmhouston97.com,Law Firm,Houston,Directory,2025-08-22T22:11:28.347931
Plumbing Los Angeles #98,info@plumbinglosangeles98.com,(428) 839-8479,"2152 Main St, Los Angeles",https://plumbinglosangeles98.com,Plumbing,Los Angeles,Directory,2025-08-22T22:11:28.347931
Plumbing Los Angeles #99,,(655) 737-1289,"7928 Main St, Los Angeles",,Plumbing,Los Angeles,Directory,2025-08-22T22:11:28.347931
Law Firm Miami #100,info@lawfirmmiami100.com,(854) 237-4985,"3351 Main St, Miami",https://lawfirmmiami100.com,Law Firm,Miami,Directory,2025-08-22T22:11:28.347931
Tech Solutions LLC,info@techsolutionsllc.com,(212) 555-0123,"123 Tech Ave, New York, NY 10001",https://techsolutionsllc.com,IT Services,,,2025-08-22T22:11:28.347931
Green Landscaping Services,contact@greenlandscaping.com,(310) 555-0456,"456 Garden St, Los Angeles, CA 90001",https://greenlandscaping.com,Landscaping,,,2025-08-22T22:11:28.347931
Chicago Legal Associates,info@chicagolegal.com,(312) 555-0789,"789 Law Plaza, Chicago, IL 60601",https://chicagolegal.com,Law Firm,,,2025-08-22T22:11:28.347931
Smile Dental Clinic,appointments@smiledentalclinic.com,(713) 555-0234,"234 Health Blvd, Houston, TX 77001",https://smiledentalclinic.com,Dental Clinic,,,2025-08-22T22:11:28.347931
Phoenix Auto Repair,service@phoenixautorepair.com,(602) 555-0567,"567 Motor Way, Phoenix, AZ 85001",https://phoenixautorepair.com,Auto Repair,,,2025-08-22T22:11:28.347931
